"Incident
Number",Nature,Report Date,Occurrence Date,General Location,Disposition,latitude,longitude
24RC00686,Theft Of Property All Other - Non-Building,03/16/24 1846Hrs,"03/16/24 1800Hrs
-
03/16/24 1853Hrs","LIVINGSTON
HOUSING BUILDING
A(CPN)",Open/Pending,46.5653163,-66.46191639999999
24RC00686,Criminal Mischief W/Damage,03/16/24 1846Hrs,"03/16/24 1800Hrs
-
03/16/24 1853Hrs","LIVINGSTON
HOUSING BUILDING
A(CPN)",Open/Pending,46.5653163,-66.46191639999999
24RC00687,Hinder Apprehension - Oneself - False Info,03/17/24 0045Hrs,03/16/24 2334Hrs,"0-0 STATE HWY 18
N / 1249-1298 RIVER
RD(CPN)",Cleared by Arrest,40.48246839999999,-74.4151962
24RC00687,Poss Of Drug Paraphernalia,03/17/24 0045Hrs,03/16/24 2334Hrs,"0-0 STATE HWY 18
N / 1249-1298 RIVER
RD(CPN)",Cleared by Arrest,40.48246839999999,-74.4151962
24RC00687,Possess Cds Or Analog,03/17/24 0045Hrs,03/16/24 2334Hrs,"0-0 STATE HWY 18
N / 1249-1298 RIVER
RD(CPN)",Cleared by Arrest,40.48246839999999,-74.4151962
24RC00689,Theft Of Property All Other - Non-Building,03/17/24 1753Hrs,"03/17/24 1738Hrs
-
03/17/24 1809Hrs",Campbell Hall(CPN),Open/Pending,40.5053711,-74.45095979999999
24RC00693,False Public Alarm,03/18/24 0303Hrs,"03/18/24 0229Hrs
-
03/18/24 0309Hrs","CHEMISTRY &
CHEMICAL
BIOLOGY(CPN)",Closed,46.5653163,-66.46191639999999
24RC00697,Defiant Trespasser,03/18/24 1520Hrs,03/18/24 1451Hrs,"Joyce Kilmer AVE -
Piscataway",Cleared by Arrest,40.4807263,-74.4603003
24RC00701,Theft By Deception,03/18/24 1733Hrs,01/05/24 0001Hrs,"HONORS
COLLEGE(CPN)",Open/Pending,40.4862157,-74.4518188
24RC00701,Impersonation Wire Fraud,03/18/24 1733Hrs,01/05/24 0001Hrs,"HONORS
COLLEGE(CPN)",Open/Pending,40.4862157,-74.4518188
24RC00702,Suspicious Incident/Cds Related,03/19/24 1031Hrs,03/19/24 0958Hrs,"GARDENS AT
RARITAN- LOG
CABIN
PAVILLION(CPN)",Closed,40.4862872,-74.4195434
24RC00706,Theft Of Property All Other - Non-Building,03/19/24 1710Hrs,"02/15/24 0000Hrs
-
03/19/24 1710Hrs","LYNTON TOWERS
SOUTH(CPN)",Open/Pending,40.52297,-74.4361244
24RC00708,Theft From Building,03/19/24 2051Hrs,03/12/24 1900Hrs,"SAINT PETER'S
WOMANS
PAVILION(CPN)",Closed,46.5653163,-66.46191639999999
24RC00714,Theft From Building,03/20/24 1729Hrs,"03/20/24 1630Hrs
-
03/20/24 1640Hrs","Busch Campus
Center(CPN)",Closed,40.5233281,-74.45828209999999
24RC00719,Criminal Mischief W/Damage,03/21/24 1145Hrs,"03/21/24 1144Hrs
-
03/21/24 1147Hrs",Murray Hall(CPN),Closed,40.50062519999999,-74.44660549999999
24RN00376,Theft From Building,03/21/24 1838Hrs,03/18/24 0200Hrs,"UNIVERSITY
HOSPITAL UH B
LEVEL, RM
253(CPN)",Open/Pending,46.5653163,-66.46191639999999
24RC00720,Theft Of Property All Other - Non-Building,03/21/24 1848Hrs,03/21/24 1115Hrs,TILLETT HALL(CPN),Unfounded,40.5218933,-74.4359897
24RC00728,Criminal Mischief W/Damage,03/22/24 1518Hrs,"03/22/24 1509Hrs
-
03/22/24 1522Hrs","WITTENBORN
SCHOLARS
RESIDENCE(CPN)",Closed,40.4829783,-74.42911470000001
24RC00729,Theft By Deception,03/22/24 1537Hrs,"03/22/24 1526Hrs
-
03/22/24 1744Hrs","SOJOURNER
TRUTH
APARTMENTS; THE
YARD(CPN)",Open/Pending,40.4991913,-74.4481705
24RC00739,Arrest On Warrant (Other Department),03/23/24 0901Hrs,03/23/24 0819Hrs,"ZETA TAU ALPHA
SORORITY(CPN)",Cleared by Arrest,40.4991897,-74.4500439
24RC00739,Burglary By Entering Motor Vehicle,03/23/24 0901Hrs,03/23/24 0819Hrs,"ZETA TAU ALPHA
SORORITY(CPN)",Cleared by Arrest,40.4991897,-74.4500439
24RC00739,Criminal Trespass,03/23/24 0901Hrs,03/23/24 0819Hrs,"ZETA TAU ALPHA
SORORITY(CPN)",Cleared by Arrest,40.4991897,-74.4500439
24RC00747,Terroristic Threats,03/25/24 1817Hrs,"03/25/24 1700Hrs
-
03/25/24 1759Hrs","FOOD SCIENCE &
NUTRITIONAL
SCIENCES
WEST(CPN)",Closed,46.5653163,-66.46191639999999
24RC00752,Theft By Extortion-Publicize,03/26/24 1408Hrs,"03/09/24 0700Hrs
-
03/25/24 1900Hrs","PUBLIC SAFETY
BUILDING RUPD;
P30(CPN)",Open/Pending,40.4879044,-74.43973559999999
24RC00752,Cyber-Harassment-Threat,03/26/24 1408Hrs,"03/09/24 0700Hrs
-
03/25/24 1900Hrs","PUBLIC SAFETY
BUILDING RUPD;
P30(CPN)",Open/Pending,40.4879044,-74.43973559999999
24RC00752,Impersonation Wire Fraud,03/26/24 1408Hrs,"03/09/24 0700Hrs
-
03/25/24 1900Hrs","PUBLIC SAFETY
BUILDING RUPD;
P30(CPN)",Open/Pending,40.4879044,-74.43973559999999
24RC00766,Harassment,03/28/24 0817Hrs,"03/28/24 0100Hrs
-
03/28/24 0700Hrs","DEMAREST
HALL(CPN)",Closed,40.5035099,-74.45033990000002
24RC00769,Harassment,03/28/24 1018Hrs,"03/28/24 0930Hrs
-
03/28/24 0945Hrs","RUTGERS
STUDENT
ACTIVITIES
CENTER SAC(CPN)",Open/Pending,40.5043304,-74.4490364
24RC00770,Theft By Deception,03/28/24 1218Hrs,03/28/24 1153Hrs,"LIVINGSTON
HOUSING BUILDING
C(CPN)",Open/Pending,46.5653163,-66.46191639999999
24RC00774,Driving While Intoxicated,03/29/24 0255Hrs,"03/29/24 0213Hrs
-
03/29/24 0344Hrs",10 UNION ST(CPN),Cleared by Arrest,40.4988561,-74.4493111
24RC00788,Defiant Trespasser,03/29/24 2127Hrs,"03/29/24 2111Hrs
-
03/29/24 2340Hrs","PANERA
BREAD(CPN)",Cleared by Arrest,40.4862157,-74.4518188
24RC00788,Poss Of Drug Paraphernalia,03/29/24 2127Hrs,"03/29/24 2111Hrs
-
03/29/24 2340Hrs","PANERA
BREAD(CPN)",Cleared by Arrest,40.4862157,-74.4518188
24RC00788,Possess Cds Or Analog,03/29/24 2127Hrs,"03/29/24 2111Hrs
-
03/29/24 2340Hrs","PANERA
BREAD(CPN)",Cleared by Arrest,40.4862157,-74.4518188
24RC00788,Warrant Arrest (This Department),03/29/24 2127Hrs,"03/29/24 2111Hrs
-
03/29/24 2340Hrs","PANERA
BREAD(CPN)",Cleared by Arrest,40.4862157,-74.4518188
24RC00788,Arrest On Warrant (Other Department),03/29/24 2127Hrs,"03/29/24 2111Hrs
-
03/29/24 2340Hrs","PANERA
BREAD(CPN)",Cleared by Arrest,40.4862157,-74.4518188
24RC00792,Theft Of A Motor Vehicle,03/30/24 1133Hrs,"03/29/24 1200Hrs
-
03/30/24 0745Hrs","RUTGERS
ECOLOGICAL
PRESERVE(CPN)",Open/Pending,40.5173865,-74.4406061
24RC00793,"Obstructing Admin Of Law/Governmental
Function",03/30/24 1838Hrs,"03/30/24 1811Hrs
-
03/30/24 1933Hrs","100-168 GEORGE
ST / 1-15 CHAPEL
DR(CPN)",Open/Pending,40.4863652,-74.4359028
24RC00794,Theft Of A Motor Vehicle,03/31/24 0001Hrs,"03/30/24 1300Hrs
-
03/30/24 2300Hrs",LOT 103(CPN),Open/Pending,40.5186454,-74.4327387
24RC00794,Burglary By Entering Motor Vehicle,03/31/24 0001Hrs,"03/30/24 1300Hrs
-
03/30/24 2300Hrs",LOT 103(CPN),Open/Pending,40.5186454,-74.4327387
24RC00799,Harassment,03/31/24 2321Hrs,03/31/24 2234Hrs,"LIVINGSTON
HOUSING BUILDING
B(CPN)",Open/Pending,46.5653163,-66.46191639999999
